time,force_x,force_y,force_z,vibration_x,vibration_y,vibration_z,acoustic_emission_rms,timestamp,tool_wear,ACTION_CODE
305,-41.583,-11.434,1.184,-0.169,-0.015,0.083,0.102,1209.12546,0.159147452,1
306,-12.382,0.667,6.591,-0.05,0.07,-0.056,0.081,1213.08548,0.160460477,1
307,62.626,14.666,-26.812,0.073,0.307,0.043,0.08,1217.0455,0.161775099,1
308,-3.291,-12.37,-15.072,0.035,-0.063,0.023,0.106,1221.00552,0.163090875,1
309,-27.967,37.208,7.549,-0.378,-0.322,0.183,0.123,1224.96554,0.164407363,1
310,99.92,54.84,57.364,-0.258,0.014,-0.584,0.176,1228.96554,0.164407363,1
311,-16.607,12.012,-14.708,0.306,-0.034,0.08,0.099,1232.92556,0.165724122,1
312,-55.723,-9.422,5.197,0.128,-0.274,0.227,0.109,1236.88558,0.167040712,1
313,39.33,17.361,40.326,0.018,-0.088,-0.122,0.094,1240.8456,0.168356696,1
314,7.458,5.648,36.076,0.041,-0.11,-0.312,0.102,1244.80562,0.169671638,1
315,38.982,6.7,-15.492,0.032,0.174,0.103,0.094,1248.76564,0.170985104,1
316,16.278,-6.206,-12.055,0.01,-0.225,-0.085,0.111,1252.72566,0.172296664,1
317,-2.712,7.375,25.454,-0.352,-0.093,-0.012,0.103,1256.68568,0.173605889,1
318,116.14,8.723,75.916,-0.275,0.134,0.532,0.103,1260.6457,0.174912356,1
319,1.293,-11.017,1.232,0.214,0.074,0.182,0.24,1264.6457,0.174912356,1
320,38.32,19.882,-20.807,-0.348,-0.027,-0.171,0.109,1268.60572,0.176215643,1
321,40.653,9.596,47.036,0.048,-0.122,0.368,0.104,1272.56574,0.177515333,1
322,-8.488,5.564,23.323,-0.025,-0.218,-0.037,0.101,1276.52576,0.178811012,1
323,22.664,16.143,28.135,-0.077,-0.175,0.057,0.115,1280.48578,0.180102271,1
324,2.43,5.325,25.597,0.075,-0.195,-0.239,0.105,1284.4458,0.181388706,1
325,94.689,19.838,58.659,-0.141,0.041,-0.046,0.089,1288.40582,0.182669916,1
326,-59.555,-2.435,-5.91,0.057,-0.382,-0.107,0.125,1292.36584,0.183945508,1
327,55.876,15.495,-35.713,-0.291,0.161,-0.184,0.137,1296.32586,0.185215091,1
328,-32.703,-21.35,10.347,0.194,-0.239,-0.215,0.167,1300.32586,0.185215091,1
329,-11.554,8.105,-13.64,-0.437,-0.161,0.393,0.163,1304.28588,0.186478281,1
330,72.108,6.804,-32.408,0.067,0.366,-0.109,0.128,1308.2459,0.187734701,1
331,-16.369,-7.184,13.076,0.14,-0.071,-0.229,0.125,1312.20592,0.188983979,1
332,90.482,33.965,60.406,-0.048,0.065,-0.182,0.153,1316.16594,0.190225748,1
333,-1.261,-0.244,-16.972,-0.157,-0.083,-0.057,0.123,1320.12596,0.191459649,1
334,65.805,19.306,-31.83,-0.13,0.308,-0.138,0.143,1324.08598,0.192685329,1
335,45.109,11.638,43.92,-0.048,0,-0.277,0.145,1328.046,0.193902443,1
336,81.179,32.985,52.693,-0.392,0.057,0.095,0.157,1332.00602,0.195110651,1
337,24.751,-6.016,-4.602,-0.078,0.085,-0.15,0.219,1336.00602,0.195110651,1
338,68.581,14.331,-27.273,-0.354,0.116,-0.195,0.155,1339.96604,0.196309623,1
339,-58.836,-11.478,4.02,0.329,-0.272,-0.032,0.17,1343.92606,0.197499034,1
340,91.215,37.998,57.139,-0.409,-0.052,-0.186,0.175,1347.88608,0.198678569,1
341,7.875,12.639,21.501,0.338,0.041,0.309,0.204,1351.8461,0.199847918,1
342,-65.591,-14.351,-3.91,0.063,-0.327,-0.117,0.165,1355.80612,0.201006782,1
343,114.13,20.703,71.105,0.079,0.016,-0.075,0.181,1359.76614,0.202154868,1
344,31.934,11.309,-22.059,-0.176,0.146,0.303,0.152,1363.72616,0.203291893,1
345,-13.491,10.385,-6.199,-0.118,0.222,0.082,0.286,1367.68618,0.204417582,1
346,-58.569,3.062,-3.15,0.216,0.046,0.464,0.263,1371.68618,0.204417582,1
347,36.368,17.294,31.054,-0.077,0.193,0.02,0.208,1375.6462,0.205531669,1
348,-2.713,13.358,-16.235,-0.093,0.128,0.141,0.235,1379.60622,0.206633895,1
349,-52.321,-11.136,-3.372,0.168,-0.254,-0.022,0.334,1383.56624,0.207724013,1
350,47.292,12.395,-20.46,-0.178,0.305,0.205,0.341,1387.52626,0.208801784,1
351,16.053,5.813,-14.563,-0.001,-0.105,-0.041,0.352,1391.48628,0.209866976,1
352,62.563,20.309,36.603,-0.419,-0.033,0.09,0.47,1395.4463,0.210919371,1
